,count,alive,healthy,boroname,nta,nta_name,area (sq-ft),Median Income,Margin of Error,fraction alive,fraction healthy,density
36061017300,402,398,384,Manhattan,MN12,Upper West Side,1922492.16209,113750.0,14700,0.990049751244,0.955223880597,0.000207022950651
36061017401,166,163,160,Manhattan,MN33,East Harlem South,1086203.84322,21435.0,6042,0.981927710843,0.963855421687,0.000150063913894
36061017402,106,97,94,Manhattan,MN33,East Harlem South,547579.173853,37426.0,15350,0.915094339623,0.88679245283,0.000177143333114
36061017500,432,424,413,Manhattan,MN12,Upper West Side,2318528.61999,137344.0,30453,0.981481481481,0.956018518519,0.000182874602601
36061017700,396,391,367,Manhattan,MN12,Upper West Side,1879137.15056,77957.0,19064,0.987373737374,0.926767676768,0.000208074221663
36061017800,296,283,251,Manhattan,MN34,East Harlem North,2663014.7216,32896.0,9025,0.956081081081,0.847972972973,0.000106270535309
36061017900,385,380,373,Manhattan,MN12,Upper West Side,2278049.73586,75997.0,12074,0.987012987013,0.968831168831,0.000166809351885
36061018000,211,190,181,Manhattan,MN34,East Harlem North,2287541.2805,31842.0,4386,0.900473933649,0.857819905213,8.30586104039e-05
36061018100,291,282,260,Manhattan,MN12,Upper West Side,1489695.55128,70075.0,24512,0.969072164948,0.893470790378,0.000189300424344
36061018200,212,190,182,Manhattan,MN34,East Harlem North,1904007.67509,23451.0,5972,0.896226415094,0.858490566038,9.97895137114e-05
36061018300,319,308,291,Manhattan,MN12,Upper West Side,2391021.04984,100956.0,33658,0.965517241379,0.912225705329,0.000128815260753
36061018400,258,251,228,Manhattan,MN34,East Harlem North,1903568.35285,25581.0,3819,0.972868217054,0.883720930233,0.000131857623933
36061018500,104,100,95,Manhattan,MN12,Upper West Side,1406648.86923,91776.0,20338,0.961538461538,0.913461538462,7.10909468507e-05
36061018600,141,137,132,Manhattan,MN11,Central Harlem South,1311722.31835,24769.0,11011,0.971631205674,0.936170212766,0.000104442836783
36061018700,416,403,390,Manhattan,MN12,Upper West Side,2323892.15234,110385.0,14268,0.96875,0.9375,0.000173415964934
36061018800,252,224,206,Manhattan,MN34,East Harlem North,1599376.13286,29146.0,7673,0.888888888889,0.81746031746,0.000140054609668
36061018900,409,391,359,Manhattan,MN12,Upper West Side,2854272.40663,28158.0,6515,0.955990220049,0.877750611247,0.00013698762567
36061019000,199,185,169,Manhattan,MN11,Central Harlem South,1117371.61078,58750.0,11440,0.929648241206,0.849246231156,0.000165567120388
36061019100,439,425,407,Manhattan,MN12,Upper West Side,2385202.81954,83188.0,20825,0.968109339408,0.927107061503,0.000178181912464
36061019200,85,78,74,Manhattan,MN34,East Harlem North,2038882.78476,16206.0,1956,0.917647058824,0.870588235294,3.82562453237e-05
36061019300,346,331,321,Manhattan,MN09,Morningside Heights,1892879.08849,32236.0,11012,0.956647398844,0.92774566474,0.000174865897147
36061019400,234,226,211,Manhattan,MN34,East Harlem North,1881141.40938,27273.0,11367,0.965811965812,0.901709401709,0.000120139825147
36061019500,481,463,447,Manhattan,MN09,Morningside Heights,2338293.47706,117045.0,25802,0.962577962578,0.929313929314,0.000198007651538
36061019600,260,214,195,Manhattan,MN34,East Harlem North,1902090.81861,19045.0,5094,0.823076923077,0.75,0.000112507771925
36061019701,229,225,215,Manhattan,MN09,Morningside Heights,2540820.2793,72000.0,21439,0.982532751092,0.938864628821,8.85540791031e-05
36061019702,79,76,71,Manhattan,MN11,Central Harlem South,509562.31902,63135.0,21333,0.962025316456,0.898734177215,0.00014914760602
36061019800,346,339,326,Manhattan,MN34,East Harlem North,2431074.16976,70481.0,17336,0.979768786127,0.942196531792,0.000139444532058
36061019900,429,410,373,Manhattan,MN09,Morningside Heights,2406472.80945,76902.0,8994,0.955710955711,0.869463869464,0.000170373834431
36061020000,240,237,222,Manhattan,MN11,Central Harlem South,1391141.17595,66000.0,16866,0.9875,0.925,0.000170363730222
36061020101,87,86,82,Manhattan,MN09,Morningside Heights,593177.014706,82353.0,14454,0.988505747126,0.942528735632,0.000144982016949
36061020102,177,172,167,Manhattan,MN11,Central Harlem South,897067.902897,54563.0,6386,0.971751412429,0.943502824859,0.00019173576431
36061020300,148,139,133,Manhattan,MN09,Morningside Heights,1916587.86793,36667.0,16046,0.939189189189,0.898648648649,7.25247207946e-05
36061020500,431,415,383,Manhattan,MN09,Morningside Heights,2977096.07195,111875.0,30984,0.962877030162,0.888631090487,0.000139397584079
36061020600,324,312,284,Manhattan,MN03,Central Harlem North-Polo Grounds,1602693.78169,39468.0,8268,0.962962962963,0.876543209877,0.000194672247166
36061020701,112,102,97,Manhattan,MN09,Morningside Heights,508699.878062,60798.0,11831,0.910714285714,0.866071428571,0.000200511154806
36061020800,320,300,282,Manhattan,MN03,Central Harlem North-Polo Grounds,1599291.93268,42220.0,8831,0.9375,0.88125,0.000187583013376
36061020901,92,86,82,Manhattan,MN09,Morningside Heights,1246712.41599,32848.0,10865,0.934782608696,0.891304347826,6.89814257859e-05
36061021000,156,147,135,Manhattan,MN34,East Harlem North,2157295.89951,29811.0,4644,0.942307692308,0.865384615385,6.81408609887e-05
36061021100,244,235,227,Manhattan,MN09,Morningside Heights,3738242.76539,53389.0,15849,0.963114754098,0.930327868852,6.28637610633e-05
36061021200,212,201,197,Manhattan,MN03,Central Harlem North-Polo Grounds,1900292.3032,52263.0,5507,0.948113207547,0.929245283019,0.000105773201134
36061021303,202,190,182,Manhattan,MN06,Manhattanville,1650328.22328,37628.0,7577,0.940594059406,0.90099009901,0.000115128613399
36061021400,128,118,112,Manhattan,MN03,Central Harlem North-Polo Grounds,1460333.25746,44405.0,6150,0.921875,0.875,8.08034737257e-05
36061021500,102,87,87,Manhattan,MN03,Central Harlem North-Polo Grounds,750499.537053,33477.0,7115,0.852941176471,0.852941176471,0.000115922789695
36061021600,371,355,340,Manhattan,MN11,Central Harlem South,1864443.38049,46250.0,6779,0.956873315364,0.916442048518,0.000190405352994
36061021703,316,306,291,Manhattan,MN06,Manhattanville,3377609.42677,,**,0.96835443038,0.920886075949,9.05966206675e-05
36061021800,348,340,304,Manhattan,MN11,Central Harlem South,1958525.79652,47155.0,9711,0.977011494253,0.873563218391,0.000173599960033
36061021900,114,107,101,Manhattan,MN06,Manhattanville,3004756.12784,19025.0,5379,0.938596491228,0.885964912281,3.56102110945e-05
36061022000,429,416,388,Manhattan,MN11,Central Harlem South,1882647.53283,47808.0,10415,0.969696969697,0.904428904429,0.000220965418511
36061022102,210,208,204,Manhattan,MN03,Central Harlem North-Polo Grounds,1065533.57021,42284.0,14016,0.990476190476,0.971428571429,0.000195207364475
36061022200,304,285,256,Manhattan,MN11,Central Harlem South,1953119.68878,32361.0,14495,0.9375,0.842105263158,0.000145920396808
36061022301,263,244,224,Manhattan,MN06,Manhattanville,1972647.88752,37500.0,4507,0.927756653992,0.851711026616,0.000123691613462
36061022302,15,15,14,Manhattan,MN06,Manhattanville,641735.869073,24241.0,5099,1.0,0.933333333333,2.33741025286e-05
36061022400,265,253,245,Manhattan,MN03,Central Harlem North-Polo Grounds,2099457.91144,25000.0,7981,0.954716981132,0.924528301887,0.000120507297918
36061022500,387,366,329,Manhattan,MN04,Hamilton Heights,2960365.53193,48157.0,12687,0.945736434109,0.850129198966,0.000123633381099
36061022600,269,255,228,Manhattan,MN03,Central Harlem North-Polo Grounds,1642680.57782,36627.0,10037,0.947955390335,0.847583643123,0.000155234074989
36061022700,308,301,299,Manhattan,MN04,Hamilton Heights,1621656.26615,47597.0,6894,0.977272727273,0.970779220779,0.000185612701214
36061022800,349,337,328,Manhattan,MN03,Central Harlem North-Polo Grounds,1944083.40176,33910.0,14353,0.965616045845,0.939828080229,0.00017334647253
36061022900,340,315,302,Manhattan,MN04,Hamilton Heights,2186915.9039,34898.0,9962,0.926470588235,0.888235294118,0.000144038460481
36061023000,335,324,310,Manhattan,MN03,Central Harlem North-Polo Grounds,1869850.52805,35569.0,6368,0.967164179104,0.925373134328,0.000173275882291
36061023100,312,305,295,Manhattan,MN04,Hamilton Heights,1962707.31304,45262.0,10533,0.977564102564,0.945512820513,0.000155397596969
36061023200,293,283,279,Manhattan,MN03,Central Harlem North-Polo Grounds,1943146.29145,28800.0,3316,0.965870307167,0.952218430034,0.000145640089604
36061023300,397,379,350,Manhattan,MN04,Hamilton Heights,2535522.24995,41552.0,8931,0.954659949622,0.88161209068,0.000149476108919
36061023400,221,213,205,Manhattan,MN03,Central Harlem North-Polo Grounds,1167006.61854,38854.0,13711,0.963800904977,0.927601809955,0.000182518245069
36061023501,266,256,250,Manhattan,MN04,Hamilton Heights,1929062.77361,34846.0,7530,0.962406015038,0.93984962406,0.000132706930797
36061023502,79,64,60,Manhattan,MN03,Central Harlem North-Polo Grounds,447807.763352,29293.0,5717,0.810126582278,0.759493670886,0.000142918469124
36061023600,195,193,192,Manhattan,MN03,Central Harlem North-Polo Grounds,2825824.0145,36540.0,3055,0.989743589744,0.984615384615,6.82986622697e-05
36061023700,400,377,366,Manhattan,MN04,Hamilton Heights,2897558.11895,37232.0,8333,0.9425,0.915,0.000130109555882
36061023900,68,67,53,Manhattan,MN36,Washington Heights South,687479.916179,41036.0,12263,0.985294117647,0.779411764706,9.74573924608e-05
36061024100,282,264,239,Manhattan,MN36,Washington Heights South,1874161.15218,47957.0,13999,0.936170212766,0.847517730496,0.000140863020073
36061024200,287,261,237,Manhattan,MN34,East Harlem North,3726881.24813,18275.0,3301,0.909407665505,0.825783972125,7.00317457475e-05
36061024301,150,141,133,Manhattan,MN36,Washington Heights South,1130740.90004,38067.0,7134,0.94,0.886666666667,0.000124697001758
36061024302,37,36,36,Manhattan,MN03,Central Harlem North-Polo Grounds,2274476.72741,20371.0,3508,0.972972972973,0.972972972973,1.58278163791e-05
36061024500,406,368,342,Manhattan,MN36,Washington Heights South,2282098.18743,35394.0,3870,0.906403940887,0.84236453202,0.000161255112522
36061024700,219,209,183,Manhattan,MN36,Washington Heights South,2736402.89934,40559.0,9763,0.954337899543,0.835616438356,7.63776416296e-05
36061024900,114,112,108,Manhattan,MN36,Washington Heights South,652856.384787,37679.0,10059,0.982456140351,0.947368421053,0.000171553809704
36061025100,233,211,188,Manhattan,MN36,Washington Heights South,1715988.90609,28688.0,4166,0.905579399142,0.80686695279,0.000122961167902
36061025300,320,300,280,Manhattan,MN36,Washington Heights South,1822960.46456,36780.0,8286,0.9375,0.875,0.000164567474628
36061025500,283,264,233,Manhattan,MN36,Washington Heights South,4756106.11115,50228.0,17007,0.932862190813,0.82332155477,5.55075925201e-05
36061025700,286,282,278,Manhattan,MN11,Central Harlem South,1550590.20006,76686.0,8162,0.986013986014,0.972027972028,0.000181866233895
36061025900,176,171,170,Manhattan,MN03,Central Harlem North-Polo Grounds,812329.701809,54913.0,6916,0.971590909091,0.965909090909,0.000210505659979
36061026100,315,296,272,Manhattan,MN36,Washington Heights South,1681539.13386,29702.0,5024,0.939682539683,0.863492063492,0.000176029206838
36061026300,294,265,250,Manhattan,MN36,Washington Heights South,1691891.99369,29308.0,2974,0.901360544218,0.850340136054,0.000156629383547
36061026500,203,198,182,Manhattan,MN36,Washington Heights South,2068250.5912,61695.0,9957,0.975369458128,0.896551724138,9.57330803349e-05
36061026700,81,79,74,Manhattan,MN35,Washington Heights North,518771.675217,39033.0,4379,0.975308641975,0.913580246914,0.000152282793711
36061026900,333,308,295,Manhattan,MN35,Washington Heights North,1889655.63868,32585.0,4637,0.924924924925,0.885885885886,0.000162992660512
36061027100,352,330,293,Manhattan,MN35,Washington Heights North,2075163.59059,49750.0,6131,0.9375,0.832386363636,0.000159023607342
36061027300,273,265,249,Manhattan,MN35,Washington Heights North,1902988.19269,74621.0,5523,0.970695970696,0.912087912088,0.00013925467379
36061027500,107,99,95,Manhattan,MN35,Washington Heights North,2946329.35512,91552.0,17393,0.92523364486,0.88785046729,3.36011314648e-05
36061027700,283,266,245,Manhattan,MN35,Washington Heights North,1760156.01362,28449.0,6210,0.939929328622,0.865724381625,0.000151122967477
36061027900,338,321,302,Manhattan,MN35,Washington Heights North,1940405.60662,48242.0,6962,0.949704142012,0.89349112426,0.000165429330293
36061028100,93,87,83,Manhattan,MN35,Washington Heights North,978716.234971,107727.0,18480,0.935483870968,0.89247311828,8.88919554937e-05
36061028300,207,182,164,Manhattan,MN35,Washington Heights North,1624342.1729,49612.0,6262,0.87922705314,0.792270531401,0.000112045357829
36061028500,235,211,194,Manhattan,MN35,Washington Heights North,1313208.89299,36500.0,8828,0.897872340426,0.825531914894,0.000160675122691
36061028700,269,262,245,Manhattan,MN35,Washington Heights North,5710876.47636,46891.0,5422,0.973977695167,0.910780669145,4.58773712029e-05
36061029100,296,280,254,Manhattan,MN01,Marble Hill-Inwood,2018093.75117,28743.0,5050,0.945945945946,0.858108108108,0.000138744793119
36061029300,219,204,184,Manhattan,MN01,Marble Hill-Inwood,1690644.6761,32509.0,5096,0.931506849315,0.840182648402,0.00012066403005
36061029500,271,257,245,Manhattan,MN01,Marble Hill-Inwood,1460098.43677,65160.0,3590,0.948339483395,0.90405904059,0.000176015529863
36061029700,74,73,68,Manhattan,MN99,park-cemetery-etc-Manhattan,9961849.13913,,**,0.986486486486,0.918918918919,7.32795678598e-06
